entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-12-19 01:00:00,2979.5,0.6176151,0.015,0.01,0.060692589840097795,eod,2979.76,2025-12-21 00:45:00,8.72629635845673e-05,1440.0
2025-12-23 01:00:00,2965.02,0.6309978,0.015,0.01,0.05142196101784906,sl,2935.3698,2025-12-24 02:30:00,-0.01,90.0
2025-12-25 01:00:00,2903.95,0.60074455,0.015,0.01,0.048279560106554376,tp,2947.5092499999996,2025-12-26 02:00:00,0.015,60.0
2026-01-20 01:00:00,2939.88,0.8160639,0.015,0.01,0.04140620899978423,tp,2983.9782,2026-01-21 03:30:00,0.015,150.0
2026-01-21 01:00:00,2982.27,0.60900074,0.015,0.01,0.04157307784242969,tp,3027.0040499999996,2026-01-22 01:15:00,0.015,15.0
2026-01-23 01:00:00,2956.41,0.6062444,0.015,0.01,0.042896138028409934,eod,2958.87,2026-01-25 00:45:00,0.0008320902716470437,1440.0
2026-01-24 01:00:00,2953.22,0.6848833,0.015,0.01,0.042953115582313524,sl,2923.6877999999997,2026-01-25 08:30:00,-0.01,450.0
2026-01-25 01:00:00,2816.89,0.8768843,0.015,0.01,0.04783340086813064,tp,2859.1433499999994,2026-01-26 01:00:00,0.015,0.0
2026-01-26 01:00:00,2930.35,0.6408316,0.015,0.01,0.04678329502326636,sl,2901.0465,2026-01-27 11:00:00,-0.01,600.0
2026-01-30 01:00:00,2707.38,0.77669805,0.015,0.01,0.052391716609521265,sl,2680.3062,2026-01-31 07:30:00,-0.01,390.0
2026-01-31 01:00:00,2451.95,0.9343572,0.015,0.01,0.0700363850346517,sl,2427.4305,2026-02-01 05:30:00,-0.01,270.0
2026-02-01 01:00:00,2270.15,0.88225543,0.015,0.01,0.08080586241941216,tp,2304.20225,2026-02-02 01:00:00,0.015,0.0
2026-02-02 01:00:00,2347.02,0.7970224,0.015,0.01,0.08181986397340335,sl,2323.5498,2026-02-03 02:30:00,-0.01,90.0
2026-02-03 01:00:00,2233.72,0.91101706,0.015,0.01,0.08499082887994658,tp,2267.2257999999997,2026-02-04 01:00:00,0.015,0.0
2026-02-04 01:00:00,2148.26,0.84626645,0.015,0.01,0.08890716872525403,sl,2126.7774000000004,2026-02-05 01:15:00,-0.01,15.0
2026-02-15 01:00:00,1966.58,0.6883341,0.015,0.01,0.0915893872320766,tp,1996.0786999999998,2026-02-16 12:30:00,0.015,690.0
2026-02-17 01:00:00,1991.66,0.67031676,0.015,0.01,0.078621781399866,sl,1971.7434,2026-02-18 01:00:00,-0.01,0.0
2026-02-19 01:00:00,1949.08,0.7182427,0.015,0.01,0.0664562621485888,sl,1929.5892,2026-02-20 13:30:00,-0.01,750.0
2026-03-18 01:00:00,2203.39,0.6211473,0.015,0.01,0.04986763902117062,sl,2181.3561,2026-03-19 06:30:00,-0.01,330.0
