trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
55,2025-05-22 02:00,141,"$2,664.82",69.72%,30.28%,39.4%,2025-05-23 02:00,"$2,704.79",TP,+1.50%,1,WIN
56,2025-05-24 02:00,143,"$2,530.40",67.14%,32.86%,34.3%,2025-05-25 02:00,"$2,511.42",SL,-0.75%,1,LOSS
57,2025-05-26 02:00,145,"$2,563.70",70.95%,29.05%,41.9%,2025-05-27 02:00,"$2,602.16",TP,+1.50%,1,WIN
58,2025-05-28 02:00,147,"$2,681.60",72.54%,27.46%,45.1%,2025-05-29 02:00,"$2,721.82",TP,+1.50%,1,WIN
59,2025-05-30 02:00,149,"$2,531.34",63.21%,36.79%,26.4%,2025-05-31 02:00,"$2,512.35",SL,-0.75%,1,LOSS
60,2025-06-01 02:00,151,"$2,539.21",68.21%,31.79%,36.4%,2025-06-02 02:00,"$2,577.30",TP,+1.50%,1,WIN
61,2025-06-03 02:00,153,"$2,593.36",56.90%,43.10%,13.8%,2025-06-04 02:00,"$2,632.26",TP,+1.50%,1,WIN
62,2025-06-05 02:00,155,"$2,414.01",54.59%,45.41%,9.2%,2025-06-06 02:00,"$2,450.22",TP,+1.50%,1,WIN
63,2025-06-07 02:00,157,"$2,524.63",61.30%,38.70%,22.6%,2025-06-08 02:00,"$2,505.70",SL,-0.75%,1,LOSS
64,2025-06-09 02:00,159,"$2,680.13",61.38%,38.62%,22.8%,2025-06-10 02:00,"$2,720.33",TP,+1.50%,1,WIN
65,2025-06-11 02:00,161,"$2,771.61",83.04%,16.96%,66.1%,2025-06-12 02:00,"$2,750.82",SL,-0.75%,1,LOSS
66,2025-06-13 02:00,163,"$2,579.19",70.93%,29.07%,41.9%,2025-06-14 02:00,"$2,559.85",SL,-0.75%,1,LOSS
67,2025-06-15 02:00,165,"$2,547.61",68.17%,31.83%,36.3%,2025-06-16 02:00,"$2,585.82",TP,+1.50%,1,WIN
68,2025-06-17 02:00,167,"$2,509.95",68.22%,31.78%,36.4%,2025-06-18 02:00,"$2,547.60",TP,+1.50%,1,WIN
69,2025-06-19 02:00,169,"$2,521.12",57.42%,42.58%,14.8%,2025-06-20 02:00,"$2,558.94",TP,+1.50%,1,WIN
70,2025-06-21 02:00,171,"$2,295.73",53.47%,46.53%,6.9%,2025-06-22 02:00,"$2,278.51",SL,-0.75%,1,LOSS
71,2025-06-25 02:00,175,"$2,418.49",62.01%,37.99%,24.0%,2025-06-26 02:00,"$2,454.77",TP,+1.50%,1,WIN
72,2025-06-28 02:00,178,"$2,435.62",51.78%,48.22%,3.6%,2025-06-29 02:00,"$2,472.15",TP,+1.50%,1,WIN
73,2025-07-03 02:00,183,"$2,591.25",52.54%,47.46%,5.1%,2025-07-04 02:00,"$2,571.82",SL,-0.75%,1,LOSS
74,2025-07-05 02:00,185,"$2,516.41",55.23%,44.77%,10.5%,2025-07-06 02:00,"$2,554.16",TP,+1.50%,1,WIN
75,2025-07-07 02:00,187,"$2,542.29",57.59%,42.41%,15.2%,2025-07-08 02:00,"$2,580.42",TP,+1.50%,1,WIN
76,2025-07-09 02:00,189,"$2,768.74",56.53%,43.47%,13.1%,2025-07-10 02:00,"$2,810.27",TP,+1.50%,1,WIN
77,2025-07-11 02:00,191,"$2,958.22",72.73%,27.27%,45.5%,2025-07-12 02:00,"$2,936.03",SL,-0.75%,1,LOSS
78,2025-07-13 02:00,193,"$2,972.03",72.92%,27.08%,45.8%,2025-07-14 02:00,"$3,016.61",TP,+1.50%,1,WIN
79,2025-07-15 02:00,195,"$3,137.89",67.96%,32.04%,35.9%,2025-07-16 02:00,"$3,184.96",TP,+1.50%,1,WIN
