trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
88,2025-10-18 02:00,290,$187.56,71.21%,28.79%,42.4%,2025-10-19 02:00,$190.37,TP,+1.50%,1,WIN
89,2025-10-20 02:00,292,$189.71,79.62%,20.38%,59.2%,2025-10-21 02:00,$192.56,TP,+1.50%,1,WIN
90,2025-10-22 02:00,294,$180.12,72.44%,27.56%,44.9%,2025-10-23 02:00,$182.82,TP,+1.50%,1,WIN
91,2025-10-24 02:00,296,$193.59,50.87%,49.13%,1.7%,2025-10-25 02:00,$192.14,SL,-0.75%,1,LOSS
92,2025-10-26 02:00,298,$200.03,53.50%,46.50%,7.0%,2025-10-27 01:00,$203.03,TP,+1.50%,1,WIN
93,2025-11-03 01:00,306,$166.06,58.78%,41.22%,17.6%,2025-11-04 01:00,$164.81,SL,-0.75%,1,LOSS
94,2025-11-07 01:00,310,$161.79,67.66%,32.34%,35.3%,2025-11-08 01:00,$164.22,TP,+1.50%,1,WIN
95,2025-11-09 01:00,312,$164.53,70.53%,29.47%,41.1%,2025-11-10 01:00,$167.00,TP,+1.50%,1,WIN
96,2025-11-11 01:00,314,$154.63,65.94%,34.06%,31.9%,2025-11-12 01:00,$156.95,TP,+1.50%,1,WIN
97,2025-11-14 01:00,317,$138.92,78.67%,21.33%,57.3%,2025-11-15 01:00,$141.00,TP,+1.50%,1,WIN
98,2025-11-16 01:00,319,$137.17,89.52%,10.48%,79.0%,2025-11-17 01:00,$139.23,TP,+1.50%,1,WIN
99,2025-11-18 01:00,321,$140.69,94.15%,5.85%,88.3%,2025-11-19 01:00,$142.80,TP,+1.50%,1,WIN
100,2025-11-20 01:00,323,$133.67,94.56%,5.44%,89.1%,2025-11-21 01:00,$132.67,SL,-0.75%,1,LOSS
101,2025-11-22 01:00,325,$127.59,81.34%,18.66%,62.7%,2025-11-23 01:00,$129.50,TP,+1.50%,1,WIN
102,2025-11-24 01:00,327,$138.44,88.48%,11.52%,77.0%,2025-11-25 01:00,$137.40,SL,-0.75%,1,LOSS
103,2025-11-26 01:00,329,$143.02,70.04%,29.96%,40.1%,2025-11-27 01:00,$141.95,SL,-0.75%,1,LOSS
104,2025-11-28 01:00,331,$137.33,58.43%,41.57%,16.9%,2025-11-29 01:00,$136.30,SL,-0.75%,1,LOSS
105,2025-12-01 01:00,334,$126.66,74.60%,25.40%,49.2%,2025-12-02 01:00,$128.56,TP,+1.50%,1,WIN
106,2025-12-05 01:00,338,$133.29,66.87%,33.13%,33.7%,2025-12-06 01:00,$132.29,SL,-0.75%,1,LOSS
107,2025-12-08 01:00,341,$133.25,54.93%,45.07%,9.9%,2025-12-09 01:00,$135.25,TP,+1.50%,1,WIN
108,2025-12-10 01:00,343,$136.26,60.56%,39.44%,21.1%,2025-12-11 01:00,$135.24,SL,-0.75%,1,LOSS
109,2025-12-14 01:00,347,$129.40,69.72%,30.28%,39.4%,2025-12-15 01:00,$131.34,TP,+1.50%,1,WIN
110,2025-12-16 01:00,349,$129.15,60.33%,39.67%,20.7%,2025-12-17 01:00,$131.09,TP,+1.50%,1,WIN
111,2025-12-18 01:00,351,$119.60,74.97%,25.03%,49.9%,2025-12-19 01:00,$121.39,TP,+1.50%,1,WIN
112,2025-12-21 01:00,354,$126.03,53.02%,46.98%,6.0%,2025-12-22 01:00,$127.92,TP,+1.50%,1,WIN
113,2025-12-24 01:00,357,$122.53,55.22%,44.78%,10.4%,2025-12-25 01:00,$124.37,TP,+1.50%,1,WIN
114,2026-01-01 01:00,365,$126.90,53.23%,46.77%,6.5%,2026-01-02 01:00,$128.80,TP,+1.50%,1,WIN
115,2026-01-03 01:00,367,$133.37,61.35%,38.65%,22.7%,2026-01-04 01:00,$135.37,TP,+1.50%,1,WIN
116,2026-01-06 01:00,370,$141.08,75.76%,24.24%,51.5%,2026-01-07 01:00,$140.02,SL,-0.75%,1,LOSS
117,2026-01-13 01:00,377,$145.51,75.98%,24.02%,52.0%,2026-01-14 01:00,$147.69,TP,+1.50%,1,WIN
118,2026-01-15 01:00,379,$142.40,52.22%,47.78%,4.4%,2026-01-16 01:00,$144.54,TP,+1.50%,1,WIN
119,2026-01-20 01:00,384,$125.80,72.84%,27.16%,45.7%,2026-01-21 01:00,$127.69,TP,+1.50%,1,WIN
120,2026-01-25 01:00,389,$118.85,55.33%,44.67%,10.7%,2026-01-26 01:00,$120.63,TP,+1.50%,1,WIN
121,2026-01-29 01:00,393,$117.82,61.43%,38.57%,22.9%,2026-01-30 01:00,$116.94,SL,-0.75%,1,LOSS
122,2026-01-31 01:00,395,$105.58,70.90%,29.10%,41.8%,2026-02-01 01:00,$104.79,SL,-0.75%,1,LOSS
123,2026-02-02 01:00,397,$104.55,85.09%,14.91%,70.2%,2026-02-03 01:00,$103.77,SL,-0.75%,1,LOSS
124,2026-02-04 01:00,399,$92.12,94.03%,5.97%,88.1%,2026-02-05 01:00,$91.43,SL,-0.75%,1,LOSS
125,2026-02-06 01:00,401,$87.46,91.52%,8.48%,83.0%,2026-02-07 01:00,$88.77,TP,+1.50%,1,WIN
126,2026-02-08 01:00,403,$86.99,65.80%,34.20%,31.6%,2026-02-09 01:00,$88.29,TP,+1.50%,1,WIN
127,2026-02-10 01:00,405,$82.99,91.43%,8.57%,82.9%,2026-02-11 01:00,$84.23,TP,+1.50%,1,WIN
128,2026-02-12 01:00,407,$78.40,87.21%,12.79%,74.4%,2026-02-13 01:00,$79.58,TP,+1.50%,1,WIN
129,2026-02-14 01:00,409,$88.06,68.04%,31.96%,36.1%,2026-02-15 01:00,$89.38,TP,+1.50%,1,WIN
130,2026-02-16 01:00,411,$86.45,54.76%,45.24%,9.5%,2026-02-17 01:00,$85.80,SL,-0.75%,1,LOSS
131,2026-02-18 01:00,413,$81.61,54.13%,45.87%,8.3%,2026-02-19 01:00,$81.00,SL,-0.75%,1,LOSS
132,2026-02-23 01:00,418,$77.90,60.74%,39.26%,21.5%,2026-02-24 01:00,$79.07,TP,+1.50%,1,WIN
