trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
88,2025-12-22 01:00,355,"$88,620.79",58.67%,41.33%,17.3%,2025-12-23 01:00,"$87,956.13",SL,-0.75%,1,LOSS
89,2025-12-26 01:00,359,"$87,369.56",52.60%,47.40%,5.2%,2025-12-29 01:00,"$88,680.10",TP,+1.50%,3,WIN
90,2026-01-19 01:00,383,"$92,631.00",59.98%,40.02%,20.0%,2026-01-20 01:00,"$91,936.27",SL,-0.75%,1,LOSS
91,2026-01-23 01:00,387,"$89,600.26",50.47%,49.53%,0.9%,2026-01-25 01:00,"$88,928.26",SL,-0.75%,2,LOSS
92,2026-01-29 01:00,393,"$84,650.16",61.75%,38.25%,23.5%,2026-01-30 01:00,"$84,015.28",SL,-0.75%,1,LOSS
93,2026-01-31 01:00,395,"$78,741.09",70.39%,29.61%,40.8%,2026-02-01 01:00,"$78,150.53",SL,-0.75%,1,LOSS
94,2026-02-02 01:00,397,"$78,738.61",70.63%,29.37%,41.3%,2026-02-03 01:00,"$78,148.07",SL,-0.75%,1,LOSS
95,2026-02-04 01:00,399,"$73,165.83",84.20%,15.80%,68.4%,2026-02-05 01:00,"$72,617.09",SL,-0.75%,1,LOSS
96,2026-02-06 01:00,401,"$70,580.26",91.73%,8.27%,83.5%,2026-02-07 01:00,"$71,638.96",TP,+1.50%,1,WIN
97,2026-02-08 01:00,403,"$70,330.38",74.04%,25.96%,48.1%,2026-02-09 01:00,"$71,385.34",TP,+1.50%,1,WIN
98,2026-02-10 01:00,405,"$68,841.29",86.81%,13.19%,73.6%,2026-02-11 01:00,"$68,324.98",SL,-0.75%,1,LOSS
99,2026-02-12 01:00,407,"$66,272.17",84.70%,15.30%,69.4%,2026-02-13 01:00,"$67,266.25",TP,+1.50%,1,WIN
100,2026-02-14 01:00,409,"$69,822.95",61.90%,38.10%,23.8%,2026-02-15 01:00,"$70,870.29",TP,+1.50%,1,WIN
101,2026-02-16 01:00,411,"$68,892.43",72.88%,27.12%,45.8%,2026-02-17 01:00,"$68,375.74",SL,-0.75%,1,LOSS
102,2026-02-18 01:00,413,"$66,461.00",69.75%,30.25%,39.5%,2026-02-19 01:00,"$65,962.54",SL,-0.75%,1,LOSS
103,2026-02-21 01:00,416,"$67,975.93",50.54%,49.46%,1.1%,2026-02-22 01:00,"$67,466.11",SL,-0.75%,1,LOSS
104,2026-02-23 01:00,418,"$64,656.02",57.67%,42.33%,15.3%,2026-02-24 01:00,"$64,171.10",SL,-0.75%,1,LOSS
105,2026-02-26 01:00,421,"$67,485.18",50.78%,49.22%,1.6%,2026-02-27 01:00,"$66,979.04",SL,-0.75%,1,LOSS
106,2026-02-28 01:00,423,"$66,973.26",60.37%,39.63%,20.7%,2026-03-01 01:00,"$67,977.86",TP,+1.50%,1,WIN
107,2026-03-04 01:00,427,"$72,666.77",51.45%,48.55%,2.9%,2026-03-05 01:00,"$72,121.77",SL,-0.75%,1,LOSS
108,2026-03-06 01:00,429,"$68,114.02",52.95%,47.05%,5.9%,2026-03-07 01:00,"$67,603.16",SL,-0.75%,1,LOSS
109,2026-03-08 01:00,431,"$65,971.20",52.57%,47.43%,5.1%,2026-03-09 01:00,"$66,960.77",TP,+1.50%,1,WIN
